ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,defasagem,matematica,portugues,ida_next,ian_next,defasagem_next,delta_ida_next,delta_ian_next,delta_defasagem_next,target_risco,score_risco
RA-1220,Aluno-1220,2023,FASE 6,6L,17.0,Feminino,2023.0,Pública,Agata,6.46725,5.0,6.8,9.0,0.0,5.0,7.8125,7.63,-1.0,8.8,5.3,7.666666666666667,5.0,-1.0,0.8666666666666671,0.0,0.0,0,0.3830409681325983
RA-1221,ALUNO-1221,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,8.0,5.0,-1.0,,,,0,0.0007538855265298587
RA-1221,ALUNO-1221,2021,2.0,N,,,,Escola Pública,Topázio,8.618,5.0,8.0,10.0,9.0,7.5,9.8,9.4,-1.0,,,7.122222222222223,10.0,,-0.8777777777777773,5.0,,1,0.8479941132171954
RA-1221,ALUNO-1221,2022,3.0,K,,,2021.0,Escola Pública,Ametista,8.045898786731787,10.0,7.122222222222223,9.211436711436711,7.5,7.5,8.125,7.333335,-1.0,7.0,5.666666666666667,8.7,5.0,-1.0,1.5777777777777766,-5.0,,0,0.1460933263707645
RA-1221,Aluno-1221,2023,FASE 7,7A,22.0,Feminino,2023.0,Concluiu o 3º EM,Topázio,8.027466667,5.0,8.7,9.1,9.2,6.26,8.0,8.09,-1.0,8.2,8.0,8.0,10.0,0.0,-0.6999999999999993,5.0,1.0,1,0.8824726401000234
RA-1222,ALUNO-1222,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.8,5.0,-1.0,,,,0,0.0016169292812783377
RA-1223,ALUNO-1223,2021,2.0,R,,,,Escola Pública,Ágata,6.779,5.0,4.7,8.3,6.8,8.1,8.1,6.8,-1.0,,,5.944444444444444,10.0,,1.2444444444444436,5.0,,1,0.7948828410442569
RA-1223,ALUNO-1223,2022,3.0,K,,,2019.0,Escola Pública,Ágata,6.806094361305362,10.0,5.944444444444444,6.862082362082362,6.66666,7.5,7.03125,5.62499,-1.0,6.833333333333333,5.0,9.0,10.0,0.0,3.055555555555556,0.0,,0,0.15604990528427998
RA-1224,ALUNO-1224,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.666666666666666,5.0,,,,,0,0.0008088267227571396
RA-1224,ALUNO-1224,2022,2.0,I,,,2022.0,,Ágata,6.775947831501832,5.0,4.666666666666666,8.824175824175825,7.416679999999999,6.25,6.666666666666666,7.722223333333334,-1.0,5.333333333333333,4.0,8.0,5.0,-1.0,3.333333333333334,0.0,,0,0.31170275778902967
RA-1224,Aluno-1224,2023,FASE 7,7A,,Masculino,2023.0,Concluiu o 3º EM,Ametista,7.5524,5.0,8.0,9.4,8.3,5.0,7.125,7.6325,-1.0,8.2,6.3,,10.0,0.0,,5.0,1.0,1,0.8470021603100645
RA-1225,ALUNO-1225,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,5.0,-1.0,,,,0,0.0016169292812783377
RA-1225,Aluno-1225,2023,FASE 7,7E,18.0,Feminino,2023.0,Concluiu o 3º EM,,7.36,5.0,6.5,8.6,7.5,2.52,,,-1.0,,,,10.0,0.0,,5.0,1.0,1,0.5673299536843234
RA-1226,ALUNO-1226,2021,2.0,R,,,,Escola Pública,Ágata,6.621,5.0,4.7,8.3,5.3,8.1,8.1,6.8,-1.0,,,4.0,10.0,,-0.7000000000000002,5.0,,1,0.8158266514419582
RA-1226,ALUNO-1226,2022,3.0,K,,,2019.0,Escola Pública,Ágata,6.618397615273615,10.0,4.0,6.826368076368077,8.75001,7.5,7.03125,5.62499,-1.0,6.333333333333333,4.666666666666667,,10.0,1.0,,0.0,,0,0.058724083166029575
RA-1226,Aluno-1226,2023,FASE 7,7E,,Feminino,2023.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,9.2,7.52,,,1.0,,,6.066666666666666,10.0,0.0,,0.0,-1.0,0,0.12501369543237353
RA-1227,ALUNO-1227,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,3.944444444444445,5.0,,,,,0,0.0008088267227571396
RA-1227,ALUNO-1227,2022,5.0,A,,,2022.0,,Ágata,6.304434274042951,5.0,3.944444444444445,7.411064425770308,7.5,7.5,6.25,7.0416625,-1.0,4.166666666666667,1.5,,10.0,1.0,,5.0,,1,0.762771477028051
RA-1227,Aluno-1227,2023,FASE 7,7E,16.0,Feminino,2023.0,Privada - Programa de Apadrinhamento,,7.36,10.0,6.5,8.6,9.2,2.52,,,1.0,,,0.0,10.0,0.0,,0.0,-1.0,0,0.07864832805134792
RA-1228,ALUNO-1228,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1228,Aluno-1228,2023,FASE 7,7E,17.0,Feminino,2023.0,Privada - Programa de Apadrinhamento,,7.36,10.0,6.5,8.6,7.5,2.52,,,0.0,,,0.0,10.0,0.0,,0.0,0.0,0,0.17517461549087368
RA-1229,ALUNO-1229,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,1.0,,,,0,0.0016169292812783377
RA-1229,Aluno-1229,2023,FASE 7,7E,,Feminino,2023.0,Privada - Programa de Apadrinhamento,,7.36,10.0,6.5,8.6,8.3,7.52,,,1.0,,,0.0,10.0,0.0,,0.0,-1.0,0,0.15612299676600902
RA-123,ALUNO-123,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.5,5.0,-2.0,,,,0,0.0008088267227571396
RA-123,Aluno-123,2022,4,B,16.0,Menino,2017.0,Rede Decisão,Ametista,7.084,5.0,6.5,8.6,7.9,5.6,,7.292,-2.0,7.3,6.3,5.7,5.0,-2.0,-0.7999999999999998,0.0,0.0,1,0.8278174844064582
RA-123,Aluno-123,2023,FASE 5,5A,17.0,Masculino,2017.0,Privada - Programa de Apadrinhamento,Agata,6.068333333,5.0,5.7,9.4,0.0,5.0,6.875,6.8375,-2.0,5.0,5.3,7.166666666666667,5.0,-1.0,1.4666666666666668,0.0,1.0,1,0.8149269287282658
RA-1230,ALUNO-1230,2021,4.0,G,,,,Rede Decisão,Ametista,7.714,10.0,5.8,8.6,7.1,6.9,8.1,8.1,1.0,,,7.611111111111111,10.0,,1.811111111111111,0.0,,0,0.1794854102411967
RA-1230,ALUNO-1230,2022,4.0,L,,,2017.0,Rede Decisão,Topázio,8.063313842911878,10.0,7.611111111111111,9.788793103448276,7.08333,5.625,8.125,7.5,-1.0,7.833333333333333,5.333333333333333,,10.0,1.0,,0.0,,0,0.21354942785325548
RA-1230,Aluno-1230,2023,FASE 7,7E,16.0,Feminino,2021.0,Privada - Programa de Apadrinhamento,,7.36,10.0,6.5,8.6,0.0,2.52,,,1.0,,,0.0,10.0,0.0,,0.0,-1.0,0,0.0977107010314729
RA-1231,ALUNO-1231,2021,2.0,E,,,,Escola Pública,Quartzo,4.133,5.0,3.1,1.7,0.0,6.3,7.5,6.5,-1.0,,,2.833333333333333,5.0,,-0.266666666666667,0.0,,0,0.1766322338004688
RA-1231,ALUNO-1231,2022,2.0,J,,,2017.0,Escola Pública,Quartzo,5.852247249848761,5.0,2.833333333333333,5.698729582577132,9.000020000000001,6.875,6.25,7.166663333333333,-1.0,2.333333333333333,3.333333333333333,,10.0,0.0,,5.0,,1,0.7942931988738264
RA-1231,Aluno-1231,2023,FASE 8,8A,22.0,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,1.0,,0.0,1.0,1,0.747067756297302
RA-1232,ALUNO-1232,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1232,Aluno-1232,2023,FASE 8,8A,21.0,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,1.0,,0.0,1.0,1,0.658029261089473
RA-1233,ALUNO-1233,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.8,10.0,0.0,,,,0,0.0007538855265298587
RA-1233,ALUNO-1233,2021,5.0,F,,,,Rede Decisão,Ametista,7.416,10.0,7.8,6.7,9.6,5.0,7.7,6.5,0.0,,,6.855555555555555,10.0,,-0.9444444444444446,0.0,,1,0.6576456132171801
RA-1233,ALUNO-1233,2022,6.0,A,,,2017.0,Rede Decisão,Ágata,6.032563917069858,10.0,6.855555555555555,4.774279029793735,0.0,6.875,7.96875,6.111109999999999,-1.0,5.1,7.666666666666667,,10.0,0.0,,0.0,,0,0.30475972235777316
RA-1233,Aluno-1233,2023,FASE 8,8A,22.0,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,1.0,,0.0,1.0,1,0.747067756297302
RA-1234,ALUNO-1234,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,5.6,10.0,0.0,,,,0,0.0007538855265298587
RA-1234,ALUNO-1234,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1234,Aluno-1234,2023,FASE 8,8A,,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.27673649621180735
RA-1235,ALUNO-1235,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,9.333333333333334,5.0,,,,,0,0.0008088267227571396
RA-1235,ALUNO-1235,2022,5.0,B,,,2022.0,,Ametista,7.712230603896105,5.0,9.333333333333334,7.70698051948052,8.33334,7.5,6.458333333333334,7.8750025,-1.0,9.5,9.0,,10.0,0.0,,5.0,,1,0.9563468129319586
RA-1235,Aluno-1235,2023,FASE 8,8A,21.0,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,1.0,,0.0,1.0,1,0.658029261089473
RA-1236,ALUNO-1236,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.666666666666667,10.0,,,,,0,0.0008088267227571396
RA-1236,ALUNO-1236,2022,3.0,N,,,2022.0,,Ágata,6.859437909090909,10.0,4.666666666666667,8.139204545454547,7.083340000000001,5.0,7.34375,6.777773333333332,-1.0,5.666666666666667,4.333333333333333,,10.0,0.0,,0.0,,0,0.12471981680501981
RA-1236,Aluno-1236,2023,FASE 8,8A,21.0,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.658029261089473
RA-1237,ALUNO-1237,2021,3.0,F,,,,Escola Pública,Quartzo,4.372,5.0,2.3,2.2,6.7,7.5,7.1,4.2,-1.0,,,3.733333333333334,5.0,,1.433333333333334,0.0,,0,0.10947671061188487
RA-1237,ALUNO-1237,2022,3.0,G,,,2019.0,Escola Pública,Quartzo,5.3185395,5.0,3.733333333333334,5.604166666666667,5.83332,7.5,7.34375,4.4166625,-1.0,2.833333333333333,3.0,,10.0,0.0,,5.0,,1,0.576648680675241
RA-1237,Aluno-1237,2023,FASE 8,8A,,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,1.0,,0.0,1.0,1,0.27673649621180735
RA-1238,ALUNO-1238,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1238,Aluno-1238,2023,FASE 8,8A,21.0,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,1.0,,0.0,1.0,1,0.658029261089473
RA-1239,ALUNO-1239,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,2.0,5.0,-1.0,,,,0,0.0007538855265298587
RA-1239,ALUNO-1239,2021,1.0,R,,,,Escola Pública,Ágata,5.574,5.0,2.0,5.8,8.5,7.5,7.3,5.9,-1.0,,,6.916666666666666,5.0,,4.916666666666666,0.0,,0,0.24013315976256497
RA-1239,ALUNO-1239,2022,2.0,F,,,2021.0,Escola Pública,Ametista,7.747224000000001,5.0,6.916666666666666,9.791666666666666,9.000020000000001,7.5,6.666666666666666,7.944443333333333,-1.0,8.5,5.333333333333333,,10.0,0.0,,5.0,,1,0.8718765463562783
RA-1239,Aluno-1239,2023,FASE 8,8B,,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.27673649621180735
RA-124,ALUNO-124,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.1,10.0,0.0,,,,0,0.0007538855265298587
RA-124,ALUNO-124,2021,0.0,T,,,,Escola Pública,Topázio,8.275,10.0,6.1,8.3,9.0,7.5,8.1,9.7,0.0,,,6.7,10.0,0.0,0.6000000000000005,0.0,0.0,0,0.2543441827036186
RA-1240,ALUNO-1240,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.3,5.0,-1.0,,,,0,0.0007538855265298587
RA-1240,ALUNO-1240,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1240,Aluno-1240,2023,FASE 8,8B,20.0,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.18203212987656894
RA-1241,ALUNO-1241,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1241,Aluno-1241,2023,FASE 8,8B,,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.27673649621180735
RA-1242,ALUNO-1242,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,2.4,5.0,-1.0,,,,0,0.0007538855265298587
RA-1242,ALUNO-1242,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1242,Aluno-1242,2023,FASE 8,8B,19.0,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.35580733292794664
RA-1243,ALUNO-1243,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.433333333333334,10.0,,,,,0,0.0008088267227571396
RA-1243,ALUNO-1243,2022,0.0,R,,,2022.0,,Ametista,7.496892358974359,10.0,7.433333333333334,8.061538461538461,9.000020000000001,5.625,4.6875,7.33333,-1.0,6.6,8.266666666666667,,10.0,0.0,,0.0,,0,0.3037642824465278
RA-1244,ALUNO-1244,2021,1.0,B,,,,Escola Pública,Ametista,7.389,5.0,5.8,8.8,10.0,7.5,7.5,7.4,-1.0,,,8.416666666666666,5.0,,2.6166666666666663,0.0,,0,0.29562743772870437
RA-1244,ALUNO-1244,2022,1.0,B,,,2019.0,Escola Pública,Ametista,7.591205925925927,5.0,8.416666666666666,7.962962962962963,9.50002,7.5,6.041666666666667,7.555556666666667,-1.0,8.666666666666666,8.166666666666666,,10.0,0.0,,5.0,,1,0.9096228760155609
RA-1244,Aluno-1244,2023,FASE 8,8B,20.0,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.18203212987656894
RA-1245,ALUNO-1245,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.5,5.0,,,,,0,0.0008088267227571396
RA-1245,ALUNO-1245,2022,5.0,B,,,2022.0,,Quartzo,5.665042956709957,5.0,4.5,5.616883116883117,7.5,7.5,4.583333333333333,5.916665,-1.0,6.0,3.0,,10.0,0.0,,5.0,,1,0.8496673769277109
RA-1245,Aluno-1245,2023,FASE 8,8B,,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.27673649621180735
RA-1246,ALUNO-1246,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.25,10.0,,,,,0,0.0008088267227571396
RA-1246,ALUNO-1246,2022,0.0,O,,,2022.0,,Topázio,8.064310288084464,10.0,7.25,9.675716440422322,9.000020000000001,7.5,5.625,7.333325,-1.0,6.5,8.0,,10.0,0.0,,0.0,,0,0.22753326323610484
RA-1246,Aluno-1246,2023,FASE 8,8B,20.0,Feminino,2021.0,Privada - Pagamento por *Empresa Parceira,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.18203212987656894
RA-1247,ALUNO-1247,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,0.6666666666666666,5.0,,,,,0,0.0008088267227571396
RA-1247,ALUNO-1247,2022,2.0,U,,,2022.0,,Quartzo,3.633136754696726,5.0,0.6666666666666666,4.978193773483628,0.0,5.625,5.416666666666667,4.49999,-1.0,1.0,0.3333333333333333,,10.0,0.0,,5.0,,1,0.6495148625501783
RA-1248,ALUNO-1248,2021,3.0,G,,,,Rede Decisão,Ágata,6.047,5.0,6.5,3.9,9.2,5.6,7.7,6.1,-1.0,,,3.711111111111112,5.0,,-2.788888888888888,0.0,,1,0.6669084831735383
RA-1248,ALUNO-1248,2022,4.0,A,,,2017.0,Rede Decisão,Quartzo,3.031806222222222,5.0,3.711111111111112,0.0,0.0,5.0,5.3125,3.79167,-1.0,5.5,3.333333333333333,,10.0,0.0,,5.0,,1,0.6749632752975193
RA-1248,Aluno-1248,2023,FASE 8,8B,20.0,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.18203212987656894
RA-1249,ALUNO-1249,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1249,Aluno-1249,2023,FASE 8,8B,,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.27673649621180735
RA-125,ALUNO-125,2021,2.0,P,,,,Escola Pública,Ágata,6.461,10.0,4.6,4.6,6.3,7.5,7.9,7.2,0.0,,,7.1,5.0,-1.0,2.5,-5.0,-1.0,0,0.16956360633890996
RA-125,Aluno-125,2022,4,B,15.0,Menina,2022.0,Escola Pública,Ametista,7.619,5.0,7.1,8.5,8.8,7.5,,7.75,-1.0,5.0,7.2,5.8,5.0,-1.0,-1.2999999999999998,0.0,0.0,1,0.8572882236621009
RA-125,Aluno-125,2023,FASE 5,5A,16.0,Feminino,2022.0,Privada,Agata,6.989633333,5.0,5.8,7.7,9.2,5.0,8.125,7.835,-1.0,3.3,5.8,6.166666666666667,5.0,-1.0,0.3666666666666671,0.0,0.0,0,0.3087085671318368
RA-1250,ALUNO-1250,2021,3.0,R,,,,Escola Pública,Ágata,6.343,5.0,5.8,5.8,6.7,6.9,7.5,7.1,-1.0,,,4.388888888888888,5.0,,-1.4111111111111114,0.0,,1,0.783080714836646
RA-1250,ALUNO-1250,2022,4.0,P,,,2019.0,Escola Pública,Ágata,6.075410286931096,5.0,4.388888888888888,6.22254004576659,7.91667,7.5,7.03125,6.0416625,-1.0,5.333333333333333,4.0,,10.0,0.0,,5.0,,1,0.7043715350893299
RA-1250,Aluno-1250,2023,FASE 8,8B,,Masculino,2021.0,Privada - Pagamento por *Empresa Parceira,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.27673649621180735
RA-1251,ALUNO-1251,2021,3.0,M,,,,Escola Pública,Ametista,7.789,10.0,8.1,7.2,8.8,6.3,7.5,7.4,0.0,,,8.055555555555555,10.0,,-0.0444444444444442,0.0,,0,0.3511064255477551
RA-1251,ALUNO-1251,2022,4.0,L,,,2020.0,Escola Pública,Topázio,8.253049807035875,10.0,8.055555555555555,8.975313479623823,9.16668,6.25,7.96875,7.541665,-1.0,7.166666666666667,7.0,,10.0,0.0,,0.0,,0,0.3017081410159559
RA-1251,Aluno-1251,2023,FASE 8,8B,20.0,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.18203212987656894
RA-1252,ALUNO-1252,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1252,Aluno-1252,2023,FASE 8,8B,,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,1.0,,0.0,1.0,1,0.27673649621180735
RA-1253,ALUNO-1253,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1253,Aluno-1253,2023,FASE 8,8D,23.0,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.6750661016639817
RA-1254,ALUNO-1254,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1254,Aluno-1254,2023,FASE 8,8D,19.0,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,1.0,,0.0,1.0,1,0.35580733292794664
RA-1255,ALUNO-1255,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.166666666666666,5.0,,,,,0,0.0008088267227571396
RA-1255,ALUNO-1255,2022,1.0,P,,,2022.0,,Ágata,6.763162264550265,5.0,6.166666666666666,7.98941798941799,9.000020000000001,7.5,4.375,6.722216666666666,-1.0,6.0,6.333333333333333,,10.0,0.0,,5.0,,1,0.7398869748315038
RA-1255,Aluno-1255,2023,FASE 8,8D,,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.27673649621180735
RA-1256,ALUNO-1256,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1256,Aluno-1256,2023,FASE 8,8D,18.0,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.14899782251083674
RA-1257,ALUNO-1257,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1257,Aluno-1257,2023,FASE 8,8D,18.0,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.14899782251083674
RA-1258,ALUNO-1258,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,8.45,10.0,,,,,0,0.0008088267227571396
RA-1258,ALUNO-1258,2022,0.0,Y,,,2022.0,,Ametista,7.640722218045114,10.0,8.45,7.274436090225564,10.00002,7.5,3.125,7.166665,-1.0,8.799999999999999,8.1,,10.0,0.0,,0.0,,0,0.38535567604956
RA-1258,Aluno-1258,2023,FASE 8,8D,24.0,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,1.0,,0.0,1.0,1,0.6750661016639817
RA-1259,ALUNO-1259,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1259,Aluno-1259,2023,FASE 8,8D,,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.27673649621180735
RA-126,ALUNO-126,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.5,5.0,-1.0,,,,0,0.0007538855265298587
RA-126,ALUNO-126,2021,0.0,P,,,,Escola Pública,Ágata,6.069,5.0,4.5,4.2,9.0,7.5,7.2,7.3,-1.0,,,4.4,5.0,-1.0,-0.0999999999999996,0.0,0.0,0,0.1554787032222923
RA-1260,ALUNO-1260,2021,1.0,C,,,,Escola Pública,Ágata,6.163,5.0,3.9,5.0,9.0,7.5,7.7,7.3,-1.0,,,7.166666666666667,5.0,,3.266666666666667,0.0,,0,0.1633388843944236
RA-1260,ALUNO-1260,2022,1.0,B,,,2020.0,Escola Pública,Ametista,7.132224000000001,5.0,7.166666666666667,7.3,9.50002,7.5,5.833333333333334,7.277776666666666,-1.0,6.0,8.333333333333334,,10.0,0.0,,5.0,,1,0.887545775280101
RA-1260,Aluno-1260,2023,FASE 8,8D,,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,1.0,,0.0,1.0,1,0.27673649621180735
RA-1261,ALUNO-1261,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1261,Aluno-1261,2023,FASE 8,8D,,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.27673649621180735
RA-1262,ALUNO-1262,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,,10.0,0.0,,,,0,0.0016169292812783377
RA-1262,Aluno-1262,2023,FASE 8,8D,19.0,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.35580733292794664
RA-1263,ALUNO-1263,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,4.277777777777778,10.0,,,,,0,0.0008088267227571396
RA-1263,ALUNO-1263,2022,3.0,E,,,2022.0,,Ágata,6.718502317460318,10.0,4.277777777777778,7.559523809523809,10.00002,5.625,6.71875,5.583325,-1.0,6.333333333333333,3.666666666666667,,10.0,0.0,,0.0,,0,0.09357296260162079
RA-1263,Aluno-1263,2023,FASE 8,8D,,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,7.36,10.0,6.5,8.6,8.8,7.5,,,0.0,,,,10.0,0.0,,0.0,0.0,0,0.27673649621180735
