ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,defasagem,matematica,portugues,ida_next,ian_next,defasagem_next,delta_ida_next,delta_ian_next,delta_defasagem_next,target_risco,score_risco
RA-1008,ALUNO-1008,2022,0.0,R,,,2022.0,,Ametista,7.259040128205128,10.0,6.299999999999999,6.641025641025641,10.00002,6.25,5.625,7.416665,-1.0,7.133333333333333,5.466666666666666,8.4,10.0,0.0,2.1000000000000014,0.0,,0,0.23301168729927332
RA-1008,Aluno-1008,2023,ALFA,ALFA V - G0/G1,8.0,Masculino,2023.0,Pública,Topázio,8.13595,10.0,8.4,8.6,9.0,7.52,5.9375,7.5,0.0,7.5,9.2,7.0,5.0,-1.0,-1.4000000000000004,-5.0,-1.0,1,0.7631556932636316
RA-1009,ALUNO-1009,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.3,10.0,0.0,,,,0,0.0007538855265298587
RA-1009,ALUNO-1009,2021,0.0,S,,,,Escola Pública,Ametista,7.4,10.0,6.3,10.0,7.0,7.5,2.5,7.2,0.0,,,8.083333333333332,5.0,,1.7833333333333323,-5.0,,0,0.2758277482682476
RA-1009,ALUNO-1009,2022,0.0,E,,,2021.0,Escola Pública,Ametista,7.440048629629629,5.0,8.083333333333332,9.814814814814817,9.000020000000001,2.5,5.9375,8.083335,-1.0,8.166666666666666,8.0,8.8,10.0,0.0,0.7166666666666686,5.0,,1,0.9112233125870894
RA-1009,Aluno-1009,2023,ALFA,ALFA Y - G0/G1,8.0,Masculino,2023.0,Pública,Ametista,7.245,10.0,8.8,9.0,0.0,3.77,7.5,7.84,0.0,8.3,9.2,7.5,5.0,-1.0,-1.3000000000000007,-5.0,-1.0,1,0.8133998512110555
RA-101,ALUNO-101,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.6,5.0,-1.0,,,,0,0.0008088267227571396
RA-1010,ALUNO-1010,2021,1.0,B,,,,Escola Pública,Ametista,7.449,5.0,5.2,10.0,8.0,7.5,7.5,8.1,-1.0,,,4.5,10.0,,-0.7000000000000002,5.0,,1,0.6584939416033391
RA-1010,ALUNO-1010,2022,2.0,B,,,2019.0,Escola Pública,Ametista,7.262763158594493,10.0,4.5,8.292972459639126,8.500020000000001,7.5,6.041666666666667,7.5,-1.0,6.666666666666667,2.333333333333333,9.4,10.0,0.0,4.9,0.0,,0,0.12613657544176898
RA-1011,ALUNO-1011,2021,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,7.833333333333333,5.0,,,,,0,0.0008088267227571396
RA-1011,ALUNO-1011,2022,0.0,U,,,2022.0,,Ametista,7.790571508771929,5.0,7.833333333333333,9.473684210526317,10.00002,7.5,5.625,7.58333,-1.0,7.5,8.166666666666666,5.2,10.0,0.0,-2.633333333333333,5.0,,1,0.8942177404401696
RA-1012,ALUNO-1012,2022,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.6,10.0,0.0,,,,0,0.0016169292812783377
RA-1012,Aluno-1012,2023,ALFA,ALFA Y - G0/G1,8.0,Feminino,2023.0,Pública,Ametista,7.96495,10.0,6.6,9.9,10.0,3.77,7.1875,7.845,0.0,7.0,6.2,9.75,5.0,-1.0,3.1500000000000004,-5.0,-1.0,0,0.13160400371839573
RA-1013,ALUNO-1013,2020,,,,,,,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.1,5.0,-1.0,,,,0,0.0007538855265298587
RA-1013,ALUNO-1013,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,8.3,10.0,0.0,,,,0,0.0016169292812783377
RA-1013,Aluno-1013,2023,ALFA,ALFA Y - G0/G1,7.0,Masculino,2023.0,Pública,Ametista,7.6237,10.0,8.3,9.6,9.0,4.39,5.625,5.76,0.0,7.0,9.5,7.75,5.0,-1.0,-0.5500000000000007,-5.0,-1.0,0,0.3237581135537808
RA-1014,ALUNO-1014,2021,1.0,N,,,,Escola Pública,Ametista,7.636,5.0,6.3,8.3,9.0,7.5,8.1,8.7,-1.0,,,8.833333333333332,5.0,,2.5333333333333323,0.0,,0,0.43121385308782884
RA-1014,ALUNO-1014,2022,1.0,M,,,2019.0,Escola Pública,Ametista,7.303241851851853,5.0,8.833333333333332,7.425925925925926,7.416679999999999,7.5,6.041666666666667,7.277776666666666,-1.0,8.5,9.166666666666666,8.2,10.0,0.0,-0.6333333333333329,5.0,,1,0.940286187860874
RA-1014,Aluno-1014,2023,ALFA,ALFA Y - G0/G1,,Feminino,2023.0,Pública,Topázio,8.2582,10.0,8.2,9.7,9.0,3.77,7.5,8.255,0.0,7.7,8.7,5.25,5.0,-1.0,-2.9499999999999997,-5.0,-1.0,1,0.8160119922586891
RA-1015,ALUNO-1015,2021,3.0,J,,,,Rede Decisão,Topázio,8.475,10.0,6.9,8.9,9.6,7.5,7.9,9.1,0.0,,,7.266666666666667,10.0,,0.3666666666666662,0.0,,0,0.31846833463320173
RA-1015,ALUNO-1015,2022,4.0,P,,,2018.0,Rede Decisão,Topázio,8.67342461904762,10.0,7.266666666666667,8.928571428571427,9.16668,9.375,7.96875,8.91667,-1.0,7.666666666666667,6.0,6.3,5.0,-1.0,-0.9666666666666668,-5.0,,1,0.7649544503063774
RA-1015,Aluno-1015,2023,FASE 1,1A,10.0,Feminino,2023.0,Pública,Ametista,7.538908333,5.0,6.3,9.3,10.0,6.27,7.34375,7.786666667,-1.0,5.0,7.6,4.0,10.0,0.0,-2.3,5.0,1.0,1,0.8452490353009272
RA-1016,ALUNO-1016,2022,,,,,,Escola Pública,,7.36,5.0,6.5,8.6,8.8,7.5,,,-1.0,,,6.7,5.0,-1.0,,,,0,0.0016169292812783377
